SeniorCitizen,Tenure,MonthlyCharges,TotalCharges,MonthlyDataUsageGB,NumberOfComplaints,SatisfactionScore,AvgCallDuration,Gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card,PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
-0.966712755452636,-1.5537365284007068,-1.2974559034693907,-1.1763453059556392,0.08680808252504812,-0.3466368808936371,-1.6761107608398358,0.21798002962152857,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,No
1.0344334388468663,0.6221673988124891,0.17064259039841373,0.6417610436940973,1.3854415883099458,2.060973582466466,1.3114340933717745,0.14737624435933291,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
-0.966712755452636,-0.1514873308633139,-0.5349907082891893,-0.42579034389066,-1.2230269773638018,-0.0026925289850509857,0.9379909865953233,-0.6164283416589645,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,No
1.0344334388468663,-0.5866681163059531,0.0,-0.8521198927485719,-1.4470580594428526,-0.3466368808936371,-0.18233833373403058,1.6043816311337324,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,Yes
-0.966712755452636,0.3804002957888006,0.11804661165681667,0.2764367093119384,0.5527927332494739,1.3730848786492935,-0.9292245472869332,-1.1299104162931142,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No
-0.966712755452636,-0.6350215369106907,1.5173114420708531,-0.056952508875193424,-1.1244533012490194,-0.3466368808936371,0.9379909865953233,-1.1620030459577484,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Yes
-0.966712755452636,0.28369345457932527,-1.6458601384892328,-0.5328750394407622,-0.3985925953128951,1.7170292305578796,-1.3026676540633844,-0.6613580231894526,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,No
-0.966712755452636,1.2991152872788165,1.3778791494337328,2.5208672923874635,-1.2655928829588214,-0.6905812328022233,0.1911047730424207,-0.18638710415286405,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,No
-0.966712755452636,-0.3932544338870023,0.3810265053648029,-0.16623247789209764,-0.19248399980016828,1.0291405267407074,-3.316841084246136e-16,1.8033559350544657,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No
-0.966712755452636,-0.9251420605391169,1.4700103605180073,-0.4463132273175906,0.0,1.3730848786492935,-1.6761107608398358,1.7905188831886116,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,No
